offset	jp	ko
0x472070	数を入力してください	수를 입력해 주십시오
0x4E0820	攻撃	공격
0x4E0828	守備	수비
0x4EE778	囮劔劔ｹ?囮劔劔ｹ?	
0x4EFD28	番号	번호
0x4EFD30	州	주
0x4EFD38	ﾙﾋﾞ	읽기
0x4EFD40	都市	도시
0x4EFD48	象兵	상병
0x4EFD50	山騎	산기
0x4EFD58	楼船	누선
0x4EFD60	台風	태풍
0x4EFD68	大雪	대설
0x4EFD70	金	금
0x4EFD78	兵糧	병량
0x4EFD80	兵士	병사
0x4EFD88	武将	무장
0x4EFD90	放浪軍	방랑군
0x4EFD98	ﾃﾞｰﾀ	데이터
0x4EFDE0	、	,
0x4EFFE0	番号	번호
0x4EFFE8	都市	도시
0x4EFFF0	ﾙﾋﾞ	읽기
0x4EFFF8	勢力	세력
0x4F0000	軍団	군단
0x4F0008	規模	규모
0x4F0010	特徴	특징
0x4F0018	都督	도독
0x4F0020	太守	태수
0x4F0028	軍師	군사
0x4F0030	身分	신분
0x4F0038	武将	무장
0x4F0040	在野	재야
0x4F0048	放浪軍	방랑군
0x4F0050	賊	적
0x4F0058	洪水	홍수
0x4F0060	台風	태풍
0x4F0068	豊作	풍작
0x4F0070	大雪	대설
0x4F0078	いなご	메뚜기
0x4F0080	疫病	역병
0x4F0088	常駐商人	상주상인
0x4F0098	州	주
0x4F00A0	隣接都市	인접도시
0x4F00B0	隣接種類	인접종류
0x4F00C0	前線	전선
0x4F00C8	攻略	공략
0x4F00D0	諜報残月	첩보잔월
0x4F00E0	農村	농촌
0x4F00E8	市場	시장
0x4F00F0	屯所	둔소
0x4F00F8	工房	공방
0x4F0100	城門	성문
0x4F0108	兵舎	병영
0x4F0110	金	금
0x4F0118	兵糧	병량
0x4F0120	金収支	금수지
0x4F0128	兵糧収支	병량수지
0x4F0138	金収入	금수입
0x4F0140	兵糧収入	병량수입
0x4F0150	金支出	금지출
0x4F0158	兵糧支出	병량지출
0x4F0168	人口	인구
0x4F0170	兵士	병사
0x4F0178	開発	개발
0x4F0180	開発上限	개발상한
0x4F0190	開発／開発上限	개발/개발상한
0x4F01A0	商業	상업
0x4F01A8	商業上限	상업상한
0x4F01B8	商業／商業上限	상업/상업상한
0x4F01C8	防御	방어
0x4F01D0	防御上限	방어상한
0x4F01E0	防御／防御上限	방어/방어상한
0x4F01F0	技術	기술
0x4F01F8	技術上限	기술상한
0x4F0208	技術／技術上限	기술/기술상한
0x4F0218	治安	치안
0x4F0220	治安／治安上限	치안/치안상한
0x4F0230	技術Lv	기술Lv
0x4F0238	ｱｲﾃﾑ	아이템
0x4F0240	商人	상인
